Timestamp PowerL,PowerR, Heading,Distance,DriveSpeed,TurnSpeed,FrontRange,StageNumber,StageDistance,TargetScore,TargetX,TargetY,
1516109792163,0.005208333333333334,0.010416666666666666,-0.006318750000000001,0.0,0.0,-0.17500000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792175,0.005208333333333334,0.010416666666666666,-0.00603125,0.0,0.0,0.1625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792195,0.005208333333333334,0.010416666666666666,-0.0047062499999999995,0.0,0.0,-0.1625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792215,0.005208333333333334,0.010416666666666666,-0.00335,0.0,0.0,-0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792235,0.005208333333333334,0.010416666666666666,-0.00415625,0.0,0.0,0.1875,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792255,0.005208333333333334,0.010416666666666666,-0.0039375,0.0,0.0,-0.15000000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792275,0.005208333333333334,0.010416666666666666,-0.0034875,0.0,0.0,0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792297,-0.026041666666666664,0.041666666666666664,3.7500000000000003E-5,0.0,0.0,0.1,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792315,-0.033854166666666664,0.049479166666666664,0.00310625,0.0,0.0,0.0125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792341,-0.033854166666666664,0.049479166666666664,0.005056250000000001,0.0,0.0,0.037500000000000006,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792355,-0.010416666666666668,0.026041666666666668,0.00309375,0.0,0.0,-0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792378,-0.010416666666666668,0.026041666666666668,0.0025250000000000003,0.0,0.0,-0.1875,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792403,-0.002604166666666666,0.018229166666666664,0.0019375,0.0,0.0,-0.1375,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792415,-0.002604166666666666,0.018229166666666664,0.0036812500000000005,0.0,0.0,0.0125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792434,-0.002604166666666666,0.018229166666666664,0.00315625,0.0,0.0,0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792455,0.005208333333333334,0.010416666666666666,0.0016187500000000002,0.0,0.0,-0.2,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792475,0.0078125,0.0078125,9.9375E-4,0.0,0.0,-0.1625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792495,0.0078125,0.0078125,0.0016062500000000003,0.0,0.0,0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792515,0.0078125,0.0078125,0.0016875,0.0,0.0,0.2625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792535,0.0078125,0.0078125,0.0017000000000000001,0.0,0.0,-0.08750000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792555,0.0078125,0.0078125,0.004425,0.0,0.0,-0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792575,0.0078125,0.0078125,0.0029812500000000004,0.0,0.0,-0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792594,-0.002604166666666666,0.018229166666666664,0.0013000000000000002,0.0,0.0,0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792615,-0.010416666666666668,0.026041666666666668,0.0020437500000000004,0.0,0.0,-0.0125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792638,-0.033854166666666664,0.049479166666666664,0.0023562500000000003,0.0,0.0,0.225,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792655,-0.033854166666666664,0.049479166666666664,0.0026000000000000003,0.0,0.0,0.2,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792675,-0.002604166666666666,0.018229166666666664,0.003875,0.0,0.0,-0.025,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792695,0.0078125,0.0078125,0.004,0.0,0.0,0.2,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792715,0.0078125,0.0078125,0.005143750000000001,0.0,0.0,0.23750000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792735,0.0078125,0.0078125,0.00671875,0.0,0.0,0.0125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792756,0.0078125,0.0078125,0.008700000000000001,0.0,0.0,0.037500000000000006,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792776,-0.018229166666666668,0.03385416666666667,0.00711875,0.0,0.0,0.08750000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792801,-0.05989583333333333,0.07552083333333333,0.00730625,0.0,0.0,-0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792815,-0.07552083333333333,0.09114583333333333,0.006168750000000001,0.0,0.0,0.05,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792836,-0.0859375,0.1015625,0.0073437500000000005,0.0,0.0,0.275,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792855,-0.0859375,0.1015625,0.01130625,0.0,0.0,-0.2,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792875,-0.06770833333333333,0.08333333333333333,0.011487500000000001,0.0,0.0,-0.037500000000000006,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792904,-0.05989583333333333,0.07552083333333333,0.011037500000000002,0.0,0.0,-0.0125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792914,-0.033854166666666664,0.049479166666666664,0.011756250000000001,0.0,0.0,0.2,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792935,0.005208333333333334,0.010416666666666666,0.012050000000000002,0.0,0.0,0.125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792961,0.005208333333333334,0.010416666666666666,0.0122,0.0,0.0,0.0,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792976,0.0078125,0.0078125,0.011356250000000002,0.0,0.0,-0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792995,0.0078125,0.0078125,0.0122375,0.0,0.0,-0.025,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793015,0.0078125,0.0078125,0.0118375,0.0,0.0,-0.23750000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793035,0.013061843812465668,0.0025631561875343323,0.011375,0.0,0.0,0.15000000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793063,0.02093585953116417,-0.005310859531164169,0.013231250000000002,0.0,0.0,-0.1,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793075,0.03143454839785893,-0.015809548397858936,0.013637500000000002,0.0,0.0,0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793105,0.05505659679571787,-0.03943159679571787,0.0115625,0.0,0.0,0.1375,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793116,0.08130331337451935,-0.06567831337451935,0.011325000000000002,0.0,0.0,-0.08750000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793136,0.08130331337451935,-0.06567831337451935,0.012112500000000002,0.0,0.0,-0.08750000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793155,0.10492536425590515,-0.08930036425590515,0.0138875,0.0,0.0,-0.08750000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793175,0.11279937624931335,-0.09717437624931335,0.012906250000000001,0.0,0.0,-0.1625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793194,0.11279937624931335,-0.09717437624931335,0.013068750000000002,0.0,0.0,-0.15000000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793214,0.12329806884129842,-0.10767306884129842,0.013575000000000002,0.0,0.0,0.1875,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793240,0.1311720808347066,-0.11554708083470662,0.014462500000000001,0.0,0.0,0.325,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793257,0.13904609282811484,-0.12342109282811484,0.0163375,0.0,0.0,-0.05,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793275,0.13904609282811484,-0.12342109282811484,0.0175125,0.0,0.0,0.0,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793294,0.13904609282811484,-0.12342109282811484,0.0172625,0.0,0.0,0.08750000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793314,0.1311720808347066,-0.11554708083470662,0.01728125,0.0,0.0,-0.21250000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793334,0.12329806884129842,-0.10767306884129842,0.0171625,0.0,0.0,-0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793363,0.12329806884129842,-0.10767306884129842,0.017075,0.0,0.0,-0.325,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793375,0.1311720808347066,-0.11554708083470662,0.017087500000000002,0.0,0.0,0.3125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793395,0.1469201147556305,-0.1312951147556305,0.019012499999999998,0.0,0.0,0.1625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793415,0.16529281934102377,-0.14966781934102377,0.01694375,0.0,0.0,-0.05,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793435,0.19153952598571777,-0.17591452598571777,0.01709375,0.0,0.0,0.15000000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
